id;about;length;visit;season;day;month;year;session;part;date;subject;groups;format;title;speaker
algebraic_topology_2(session-17-2)-course-sharif-jafari-fall-1391;;;;;;;;17;2;;;algebraic_topology_2-fall91;avi;;
algebraic_topology_2(session-21)-course-sharif-jafari-fall-1391;;;;;;;;21;-;;;algebraic_topology_2-fall91;avi;;
algebra_1(session-12)-course-sharif-shahshahani-spring-1391;;;;;;;;12;-;;;algebra_1-spring91;avi;;
algebra_1(session-3)-course-sharif-shahshahani-spring-1391;;;;;;;;3;-;;;algebra_1-spring91;avi;;
algebra_2(session-11-1)-course-sharif-jafari-spring-1392;;;;;;;;11;1;;;algebra_2-spring92;avi;;
algebra_2(session-3-1)-course-sharif-jafari-spring-1392;;;;;;;;3;1;;;algebra_2-spring92;avi;;
calculus_2(session-24)-course-sharif-moghaddasi-spring-1392;;;;;;;;24;-;;;calculus_2-spring92;avi;;
calculus_2(session-24)-course-sharif-shahshahani-spring-1388;;;;;;;;24;-;;;calculus_2-spring88;avi;;
calculus_2(session-25)-course-sharif-shahshahani-spring-1388;;;;;;;;25;-;;;calculus_2-spring88;avi;;
calculus_2(session-26)-course-sharif-shahshahani-spring-1388;;;;;;;;26;-;;root;calculus_2-spring88;avi;;
calculus_2(session-27)-course-sharif-shahshahani-spring-1388;;;;;;;;27;-;;;calculus_2-spring88;avi;;
calculus_2(session-28)-course-sharif-shahshahani-spring-1388;;;;;;;;28;-;;;calculus_2-spring88;avi;;
calculus_2(session-29)-course-sharif-shahshahani-spring-1388;;;;;;;;29;-;;;calculus_2-spring88;avi;;
calculus_2(session-3)-course-sharif-moghaddasi-spring-1392;;;;;;;;3;-;;;calculus_2-spring92;avi;;
calculus_2(session-3)-course-sharif-shahshahani-spring-1388;;;;;;;;3;-;;;calculus_2-spring88;avi;;
calculus_2(session-30)-course-sharif-shahshahani-spring-1388;;;;;;;;30;-;;;calculus_2-spring88;avi;;
calculus_2(session-31)-course-sharif-shahshahani-spring-1388;;;;;;;;31;-;;;calculus_2-spring88;avi;;
calculus_2(session-32)-course-sharif-shahshahani-spring-1388;;;;;;;;32;-;;;calculus_2-spring88;avi;;
mathematical_analysis_1(session-9)-course-sharif-alishahi-spring-1392;;;;;;;;9;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-9)-course-sharif-shahshahani-fall-1389;;;;;;;;9;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_2(session-1)-course-sharif-shahshahani-spring-1390;;;;;;;;1;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-10-1)-course-sharif-shahshahani-spring-1390;;;;;;;;10;1;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-10-2)-course-sharif-shahshahani-spring-1390;;;;;;;;10;2;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-10-3)-course-sharif-shahshahani-spring-1390;;;;;;;;10;3;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-11)-course-sharif-shahshahani-spring-1390;;;;;;;;11;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-12)-course-sharif-shahshahani-spring-1390;;;;;;;;12;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-13)-course-sharif-shahshahani-spring-1390;;;;;;;;13;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_1(session-16)-course-sharif-alishahi-spring-1392;;;;;;;;16;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-16)-course-sharif-shahshahani-fall-1389;;;;;;;;16;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-17)-course-sharif-alishahi-spring-1392;;;;;;;;17;-;;root;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-17)-course-sharif-shahshahani-fall-1389;;;;;;;;17;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-18)-course-sharif-alishahi-spring-1392;;;;;;;;18;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-18)-course-sharif-shahshahani-fall-1389;;;;;;;;18;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-19)-course-sharif-alishahi-spring-1392;;;;;;;;19;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-19)-course-sharif-shahshahani-fall-1389;;;;;;;;19;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-2)-course-sharif-alishahi-spring-1392;;;;;;;;2;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-2)-course-sharif-shahshahani-fall-1389;;;;;;;;2;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-20)-course-sharif-alishahi-spring-1392;;;;;;;;20;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-20)-course-sharif-shahshahani-fall-1389;;;;;;;;20;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-21)-course-sharif-alishahi-spring-1392;;;;;;;;21;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-21)-course-sharif-shahshahani-fall-1389;;;;;;;;21;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-22)-course-sharif-alishahi-spring-1392;;;;;;;;22;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-22)-course-sharif-shahshahani-fall-1389;;;;;;;;22;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-23)-course-sharif-alishahi-spring-1392;;;;;;;;23;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-24)-course-sharif-alishahi-spring-1392;;;;;;;;24;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-24)-course-sharif-shahshahani-fall-1389;;;;;;;;24;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-25)-course-sharif-alishahi-spring-1392;;;;;;;;25;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-25)-course-sharif-shahshahani-fall-1389;;;;;;;;25;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-26)-course-sharif-alishahi-spring-1392;;;;;;;;26;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-26-1)-course-sharif-shahshahani-fall-1389;;;;;;;;26;1;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-26-2)-course-sharif-shahshahani-fall-1389;;;;;;;;26;2;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-27)-course-sharif-alishahi-spring-1392;;;;;;;;27;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-28)-course-sharif-alishahi-spring-1392;;;;;;;;28;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-29)-course-sharif-alishahi-spring-1392;;;;;;;;29;-;;;mathematical_analysis_1-spring92;avi;;
mathematical_analysis_1(session-3)-course-sharif-alishahi-spring-1392;;;;;;;;3;-;;;mathematical_analysis_1-spring92;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-7)-course-sharif-rastegar-fall-1391;;;;;;;;7;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-8)-course-sharif-rastegar-fall-1391;;;;;;;;8;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-9)-course-sharif-rastegar-fall-1391;;;;;;;;9;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
linear_algebra(session-27-1)-course-sharif-shahshahani-fall-1390;;;;;;;;27;1;;;linear_algebra-fall90;avi;;
linear_algebra(session-8-1)-course-sharif-shahshahani-fall-1390;;;;;;;;8;1;;;linear_algebra-fall90;avi;;
mathematical_analysis_1(session-15)-course-sharif-shahshahani-fall-1389;;;;;;;;15;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-23)-course-sharif-shahshahani-fall-1389;;;;;;;;23;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-3)-course-sharif-shahshahani-fall-1389;;;;;;;;3;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_1(session-8)-course-sharif-shahshahani-fall-1389;;;;;;;;8;-;;;mathematical_analysis_1-fall89;avi;;
mathematical_analysis_2(session-14)-course-sharif-shahshahani-spring-1390;;;;;;;;14;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-21-1)-course-sharif-shahshahani-spring-1390;;;;;;;;21;1;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-3)-course-sharif-shahshahani-spring-1390;;;;;;;;3;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-9)-course-sharif-shahshahani-spring-1390;;;;;;;;9;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-4)-course-sharif-shahshahani-spring-1390;;;;;;;;4;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-5-1)-course-sharif-shahshahani-spring-1390;;;;;;;;5;1;;root;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-5-2)-course-sharif-shahshahani-spring-1390;;;;;;;;5;2;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-6)-course-sharif-shahshahani-spring-1390;;;;;;;;6;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-7)-course-sharif-shahshahani-spring-1390;;;;;;;;7;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-8-1)-course-sharif-shahshahani-spring-1390;;;;;;;;8;1;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-8-2)-course-sharif-shahshahani-spring-1390;;;;;;;;8;2;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-15-1)-course-sharif-shahshahani-spring-1390;;;;;;;;15;1;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-15-2)-course-sharif-shahshahani-spring-1390;;;;;;;;15;2;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-16)-course-sharif-shahshahani-spring-1390;;;;;;;;16;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-17)-course-sharif-shahshahani-spring-1390;;;;;;;;17;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-18)-course-sharif-shahshahani-spring-1390;;;;;;;;18;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-19)-course-sharif-shahshahani-spring-1390;;;;;;;;19;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-2)-course-sharif-shahshahani-spring-1390;;;;;;;;2;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-20)-course-sharif-shahshahani-spring-1390;;;;;;;;20;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-21-2)-course-sharif-shahshahani-spring-1390;;;;;;;;21;2;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-22)-course-sharif-shahshahani-spring-1390;;;;;;;;22;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-23)-course-sharif-shahshahani-spring-1390;;;;;;;;23;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-24)-course-sharif-shahshahani-spring-1390;;;;;;;;24;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-25)-course-sharif-shahshahani-spring-1390;;;;;;;;25;-;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-26-1)-course-sharif-shahshahani-spring-1390;;;;;;;;26;1;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-26-2)-course-sharif-shahshahani-spring-1390;;;;;;;;26;2;;;mathematical_analysis_2-spring90;avi;;
mathematical_analysis_2(session-26-3)-course-sharif-shahshahani-spring-1390;;;;;;;;26;3;;;mathematical_analysis_2-spring90;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-18)-course-sharif-rastegar-fall-1391;;;;;;;;18;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-19)-course-sharif-rastegar-fall-1391;;;;;;;;19;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-20-1)-course-sharif-rastegar-fall-1391;;;;;;;;20;1;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-20-2)-course-sharif-rastegar-fall-1391;;;;;;;;20;2;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-21)-course-sharif-rastegar-fall-1391;;;;;;;;21;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-22)-course-sharif-rastegar-fall-1391;;;;;;;;22;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-23)-course-sharif-rastegar-fall-1391;;;;;;;;23;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-24)-course-sharif-rastegar-fall-1391;;;;;;;;24;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-25)-course-sharif-rastegar-fall-1391;;;;;;;;25;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-26)-course-sharif-rastegar-fall-1391;;;;;;;;26;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-3)-course-sharif-rastegar-fall-1391;;;;;;;;3;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-4)-course-sharif-rastegar-fall-1391;;;;;;;;4;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-5)-course-sharif-rastegar-fall-1391;;;;;;;;5;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-11)-course-sharif-rastegar-fall-1391;;;;;;;;11;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-12)-course-sharif-rastegar-fall-1391;;;;;;;;12;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-13)-course-sharif-rastegar-fall-1391;;;;;;;;13;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-14)-course-sharif-rastegar-fall-1391;;;;;;;;14;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-15)-course-sharif-rastegar-fall-1391;;;;;;;;15;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geomtric_view_to_algebraic_number_theory_1(session-16)-course-sharif-rastegar-fall-1391;;;;;;;;16;-;;;a_geomtric_view_to_algebraic_number_theory_1-fall91;avi;;
a_geometric_view_to_algebraic_number_theory_2(session-4)-course-sharif-rastegar-spring-1392;;;;;;;;4;-;;;a_geometric_view_to_algebraic_number_theory_2-spring92;avi;;
a_geometric_view_to_algebraic_number_theory_2(session-5)-course-sharif-rastegar-spring-1392;;;;;;;;5;-;;;a_geometric_view_to_algebraic_number_theory_2-spring92;avi;;
a_geometric_view_to_algebraic_number_theory_2(session-6)-course-sharif-rastegar-spring-1392;;;;;;;;6;-;;;a_geometric_view_to_algebraic_number_theory_2-spring92;avi;;
a_geometric_view_to_algebraic_number_theory_2(session-7)-course-sharif-rastegar-spring-1392;;;;;;;;7;-;;;a_geometric_view_to_algebraic_number_theory_2-spring92;avi;;
a_geometric_view_to_algebraic_number_theory_2(session-8)-course-sharif-rastegar-spring-1392;;;;;;;;8;-;;;a_geometric_view_to_algebraic_number_theory_2-spring92;avi;;
a_geometric_view_to_algebraic_number_theory_2(session-9)-course-sharif-rastegar-spring-1392;;;;;;;;9;-;;;a_geometric_view_to_algebraic_number_theory_2-spring92;avi;;
differentiable_manifolds(session-5)-course-sharif-shahshahani-spring-1391;;;;;;;;5;-;;;differentiable_manifolds-spring91;avi;;
differentiable_manifolds(session-6)-course-sharif-shahshahani-spring-1391;;;;;;;;6;-;;;differentiable_manifolds-spring91;avi;;
differentiable_manifolds(session-7)-course-sharif-shahshahani-spring-1391;;;;;;;;7;-;;;differentiable_manifolds-spring91;avi;;
differentiable_manifolds(session-8)-course-sharif-shahshahani-spring-1391;;;;;;;;8;-;;;differentiable_manifolds-spring91;avi;;
differentiable_manifolds(session-9)-course-sharif-shahshahani-spring-1391;;;;;;;;9;-;;;differentiable_manifolds-spring91;avi;;
differentiable_manifolds(session-12)-course-sharif-shahshahani-spring-1391;;;;;;;;12;-;;;differentiable_manifolds-spring91;avi;;
